Class,Distance(mi),County,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Season,Snow_Ice,Low_Vis_Weather,Rainy,Qty_Slowing_Elements,Freezing
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,1,1,0,0
0,'\'(-inf-0.1815]\'','Baltimore City',0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,1,1,0,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'',Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,1,0,0
0,'\'(-inf-0.1815]\'','Baltimore City',0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,1,0,0,0
0,'\'(-inf-0.1815]\'','Prince Georges',0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'',Cecil,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,1,0,0,0
0,'\'(-inf-0.1815]\'',Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'','Queen Annes',0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Fall,0,1,0,1,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,1,0,1,0
0,'\'(-inf-0.1815]\'',Harford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,1,0,0,0
0,'\'(-inf-0.1815]\'',Frederick,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'',Harford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,1,0,0,0
0,'\'(-inf-0.1815]\'',Frederick,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'',Frederick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fall,0,1,0,1,0
0,'\'(-inf-0.1815]\'','Anne Arundel',0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,1,0,0,0
0,'\'(0.6935-inf)\'',Baltimore,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
0,'\'(0.6935-inf)\'','Prince Georges',0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'',Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,1
0,'\'(-inf-0.1815]\'',Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'','Baltimore City',0,0,0,0,0,0,0,0,0,0,0,1,0,1,Fall,0,1,0,1,0
0,'\'(-inf-0.1815]\'',Frederick,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,1
0,'\'(-inf-0.1815]\'',Montgomery,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'','Prince Georges',0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,1,0,0,0
0,'\'(-inf-0.1815]\'',Frederick,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'',Frederick,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'','Baltimore City',0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,1,0,1,0
0,'\'(-inf-0.1815]\'','Anne Arundel',0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,1,0,0
0,'\'(-inf-0.1815]\'',Montgomery,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'','Anne Arundel',0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'',Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'','Baltimore City',0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'','Baltimore City',0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'',Carroll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fall,0,0,0,1,0
0,'\'(0.6935-inf)\'',Howard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'','Anne Arundel',0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,1,0,0,0,0,0,0,0,0,1,0,1,Fall,0,1,0,2,0
0,'\'(0.6935-inf)\'',Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
0,'\'(0.6935-inf)\'',Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,0
0,'\'(0.1815-0.6935]\'','Baltimore City',0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,1,0,0,0
0,'\'(0.6935-inf)\'','Anne Arundel',0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'',Montgomery,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fall,0,0,0,1,0
0,'\'(0.6935-inf)\'',Montgomery,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'',Frederick,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'','Prince Georges',0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,1,0,0,0
0,'\'(-inf-0.1815]\'',Frederick,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fall,0,0,0,1,1
0,'\'(-inf-0.1815]\'',Frederick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,1
0,'\'(0.6935-inf)\'',Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'',Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
0,'\'(0.6935-inf)\'',Baltimore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'','Baltimore City',0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,1,0,0
0,'\'(-inf-0.1815]\'',Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,1,0,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Fall,0,0,1,1,0
0,'\'(0.6935-inf)\'',Howard,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'','Baltimore City',0,0,1,0,0,0,0,0,0,0,0,1,0,1,Fall,0,1,0,2,0
0,'\'(-inf-0.1815]\'',Howard,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'','Baltimore City',0,0,1,0,0,0,0,0,0,0,0,1,0,0,Fall,0,1,0,2,0
0,'\'(-inf-0.1815]\'',Montgomery,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'','Prince Georges',0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fall,0,0,0,1,1
0,'\'(-inf-0.1815]\'','Anne Arundel',0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,1
0,'\'(-inf-0.1815]\'',Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,1
0,'\'(0.6935-inf)\'',Howard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'',Howard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,1,0,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Fall,0,1,0,2,0
0,'\'(-inf-0.1815]\'',Frederick,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,0,0,1,1
0,'\'(-inf-0.1815]\'','Prince Georges',0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,1
0,'\'(0.6935-inf)\'','Baltimore City',0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,1,0,0,0
0,'\'(0.6935-inf)\'',Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'',Howard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,1
0,'\'(-inf-0.1815]\'',Cecil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'',Cecil,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'',Garrett,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,0,0,1,1
0,'\'(-inf-0.1815]\'','Prince Georges',0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fall,0,0,1,1,1
0,'\'(-inf-0.1815]\'','Baltimore City',0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fall,0,1,0,1,0
0,'\'(-inf-0.1815]\'',Cecil,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fall,0,0,0,1,1
0,'\'(-inf-0.1815]\'',Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,1
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,1
0,'\'(-inf-0.1815]\'','Prince Georges',0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,0,0,1,1
0,'\'(-inf-0.1815]\'','Prince Georges',0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,1
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,0,0,1,1
0,'\'(-inf-0.1815]\'',Montgomery,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fall,0,0,0,1,1
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fall,0,0,0,1,1
0,'\'(-inf-0.1815]\'',Howard,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,0,0,1,1
0,'\'(-inf-0.1815]\'','Anne Arundel',0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,0,0,1,1
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Fall,0,0,0,1,1
0,'\'(0.6935-inf)\'',Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,1
0,'\'(0.6935-inf)\'','Prince Georges',0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,1
0,'\'(0.6935-inf)\'',Montgomery,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Fall,0,0,0,1,1
0,'\'(0.1815-0.6935]\'','Prince Georges',0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,1
0,'\'(0.6935-inf)\'',Montgomery,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fall,0,0,0,1,1
0,'\'(-inf-0.1815]\'',Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'',Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,1,0,0
0,'\'(0.6935-inf)\'',Frederick,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'',Harford,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,1,0,0
0,'\'(0.6935-inf)\'',Montgomery,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'',Carroll,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'',Harford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,1
0,'\'(0.6935-inf)\'',Baltimore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,1
0,'\'(-inf-0.1815]\'',Howard,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fall,0,0,0,1,1
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fall,0,0,0,1,1
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'',Frederick,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fall,0,0,1,1,0
0,'\'(-inf-0.1815]\'',Frederick,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,1,0,0
0,'\'(-inf-0.1815]\'',Frederick,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,0,1,1,0
0,'\'(-inf-0.1815]\'','Prince Georges',0,0,0,0,0,0,0,0,0,0,0,1,0,1,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'','Prince Georges',0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,1,0,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Fall,0,1,1,1,0
0,'\'(-inf-0.1815]\'',Washington,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,0,1,1,0
0,'\'(-inf-0.1815]\'',Montgomery,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,0,1,1,0
0,'\'(-inf-0.1815]\'','Anne Arundel',0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,0,1,1,0
0,'\'(-inf-0.1815]\'','Baltimore City',0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,1,0,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,0,1,1,0
0,'\'(-inf-0.1815]\'','Anne Arundel',0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,1,0,0,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,1,0,0
0,'\'(-inf-0.1815]\'',Howard,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,1,0,0
0,'\'(-inf-0.1815]\'','Baltimore City',0,0,1,0,0,0,0,0,0,0,0,1,0,1,Fall,0,1,1,2,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,1,0,0,0,0,0,0,0,0,1,0,1,Fall,0,1,1,2,0
0,'\'(-inf-0.1815]\'',Howard,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,0,1,1,0
0,'\'(-inf-0.1815]\'','Anne Arundel',0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fall,0,1,0,1,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'','Baltimore City',0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,1,0,0,0
0,'\'(-inf-0.1815]\'',Montgomery,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'',Montgomery,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'','Prince Georges',0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,1,0,0,0
0,'\'(-inf-0.1815]\'',Howard,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'',Frederick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'',Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'',Frederick,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,1,0,0,0
0,'\'(-inf-0.1815]\'',Harford,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'','Baltimore City',0,0,0,0,0,0,0,0,0,0,0,1,0,1,Fall,0,1,0,1,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Fall,0,1,0,1,0
0,'\'(-inf-0.1815]\'','Baltimore City',0,0,0,0,1,0,0,0,0,0,0,1,0,1,Fall,0,0,0,2,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,1,0,1,0
0,'\'(-inf-0.1815]\'',Howard,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'',Cecil,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'','Baltimore City',0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,1,0,0,0
0,'\'(-inf-0.1815]\'','Prince Georges',0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'','Anne Arundel',0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'',Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'',Howard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'','Baltimore City',0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,1,1,0,0
0,'\'(-inf-0.1815]\'','Anne Arundel',0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'','Prince Georges',0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'','Anne Arundel',0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,1,0,0,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Fall,0,1,0,2,0
0,'\'(-inf-0.1815]\'','Prince Georges',0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,1,0,0,0
0,'\'(-inf-0.1815]\'',Cecil,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'',Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,1,0,0
0,'\'(-inf-0.1815]\'',Frederick,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fall,0,0,1,1,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,1,0,0
0,'\'(-inf-0.1815]\'','Anne Arundel',0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,1,0,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,1,1,0,0
0,'\'(-inf-0.1815]\'',Harford,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,1,0,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Fall,0,0,1,1,0
0,'\'(-inf-0.1815]\'',Howard,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,1,0,0
0,'\'(-inf-0.1815]\'',Montgomery,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Fall,0,0,1,1,0
0,'\'(-inf-0.1815]\'',Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,1,0,0
0,'\'(-inf-0.1815]\'',Frederick,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'','Anne Arundel',0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'',Frederick,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'',Harford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'',Montgomery,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'',Frederick,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'','Baltimore City',0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fall,0,1,0,1,0
0,'\'(-inf-0.1815]\'',Harford,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,1,0,0,0
0,'\'(-inf-0.1815]\'','Baltimore City',0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,1,0,1,0
0,'\'(-inf-0.1815]\'',Frederick,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'',Carroll,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'','Prince Georges',0,0,0,0,0,0,0,0,0,0,0,1,0,1,Fall,0,1,0,1,0
0,'\'(-inf-0.1815]\'','Prince Georges',0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fall,0,1,0,1,0
0,'\'(-inf-0.1815]\'','Anne Arundel',0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,0,1,1,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,1,0,0
0,'\'(-inf-0.1815]\'',Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,1,0,0
0,'\'(-inf-0.1815]\'',Frederick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,1,0,0
0,'\'(-inf-0.1815]\'',Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,1,0,0
0,'\'(-inf-0.1815]\'',Cecil,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,1,0,0
0,'\'(-inf-0.1815]\'','Prince Georges',0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,1,0,0
0,'\'(-inf-0.1815]\'',Allegany,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,1,1,1,0
0,'\'(-inf-0.1815]\'',Garrett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'','Anne Arundel',0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fall,0,0,1,1,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fall,0,1,1,1,0
0,'\'(-inf-0.1815]\'','Anne Arundel',0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,1,0,0
0,'\'(-inf-0.1815]\'','Baltimore City',0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,0,1,0,0
0,'\'(-inf-0.1815]\'','Baltimore City',0,0,0,0,0,0,0,0,0,0,0,1,0,1,Fall,0,1,1,1,0
0,'\'(-inf-0.1815]\'',Howard,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fall,0,0,1,1,0
0,'\'(-inf-0.1815]\'',Cecil,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,1,0,0,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fall,0,0,1,1,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'',Cecil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,1,0,0,0
0,'\'(-inf-0.1815]\'','Anne Arundel',0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,1,0,0,0
0,'\'(-inf-0.1815]\'',Frederick,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fall,0,1,0,0,0
0,'\'(-inf-0.1815]\'',Baltimore,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'',Howard,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,0,0,1,0
0,'\'(-inf-0.1815]\'','Baltimore City',0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fall,0,0,0,0,0
0,'\'(-inf-0.1815]\'',Frederick,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Fall,0,0,1,1,0
